conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.96E+18,Mon Aug 18 03:54:48 +0000 2025,2,Kemarin bwaeeebwaeee ajak aku buat uji nyali nonton one for all merah putih yang sangat disayangkang nggak tayang di dom kami hweeee T___T,1.96E+18,,,in,,0,0,2,https://x.com/undefined/status/1957290053702738290,1.57E+18,
1.96E+18,Mon Aug 18 03:54:38 +0000 2025,9,Film parodinya jauh lebih keren. Hanya butuh 1 menit untuk meruntuhkan Merah Putih: One for All secara kualitas maupun ide ceritanya. https://t.co/IC9DUVyzDK,1.96E+18,https://pbs.twimg.com/amplify_video_thumb/1957289934475444225/img/4BuYFYTpVoDqiIiB.jpg,,in,,0,0,3,https://x.com/undefined/status/1957290012858634747,34564787,
1.96E+18,Mon Aug 18 03:39:14 +0000 2025,0,Update harga terbaru voucher B1G1 promo Cinepoliss : 1 voc harga 12k/voc Ready jg akun cinepolis 2k/akun 1 paket voc b1g1 + akun cine 13 5k Sore Istri Dari Masa Depan Weapons Tinggal Meninggal Nobody 2 La tahzan Merah Putih One For All Demon Slayer KNY #zonauang #zonajajan,1.96E+18,,,in,,0,0,0,https://x.com/undefined/status/1957286136990330939,1.22E+18,
1.96E+18,Mon Aug 18 03:28:14 +0000 2025,0,@idupmahgampang kok ora merah putih one for all,1.96E+18,,idupmahgampang,in,,0,2,0,https://x.com/undefined/status/1957283367776350640,1.05E+18,
1.96E+18,Mon Aug 18 03:05:16 +0000 2025,0,@jokingmeround Nonton merah putih one for all asik keknya,1.96E+18,,jokingmeround,in,,0,0,0,https://x.com/undefined/status/1957277591238558082,1.57E+18,
1.96E+18,Mon Aug 18 02:51:34 +0000 2025,0,Update harga terbaru voucher B1G1 promo Cinepolisss : 1 voc harga 12k/voc Ready jg akun cinepolis 2k/akun 1 paket voc b1g1 + akun cine 13 5k Sore Istri Dari Masa Depan Weapons Tinggal Meninggal Nobody 2 La tahzan Merah Putih One For All Demon Slayer F4 #zonauang #zonajajan,1.96E+18,,,in,,0,0,0,https://x.com/undefined/status/1957274140937011608,1.22E+18,
1.96E+18,Mon Aug 18 02:23:19 +0000 2025,0,Kumpul keluarga dulu edisi menyambut merah putih one for all 🇮🇩🇮🇩🇮🇩 https://t.co/qOmcZq1haS,1.96E+18,https://pbs.twimg.com/media/Gymb_krbMAAH8wl.jpg,,in,,0,0,0,https://x.com/undefined/status/1957267033361711177,1.26E+18,
1.96E+18,Mon Aug 18 02:22:59 +0000 2025,0,gimn jadinya kalo first date di ajak nntn merah putih one for all?,1.96E+18,,,in,,0,0,0,https://x.com/undefined/status/1957266948351463917,1.79E+18,
1.96E+18,Mon Aug 18 01:59:52 +0000 2025,0,sialan mimpi nonton merah putih one for all di bioskop,1.96E+18,,,in,,0,2,0,https://x.com/undefined/status/1957261129568379364,1.25E+18,
1.96E+18,Mon Aug 18 01:50:22 +0000 2025,0,guys nonton tingning aja drpd merah putih one for all https://t.co/hDJ1b9L6Bv,1.96E+18,https://pbs.twimg.com/amplify_video_thumb/1957021191144869888/img/OkW9_aFYzG7_A652.jpg,,in,,0,0,0,https://x.com/undefined/status/1957258741927330198,1.40E+18,
